"","x"
"302","  1 2 Respected Sir  I would like to sincerely thank you for your untiring efforts and dedication to th   "
"303","  Hi   Thank you for connecting with Air Arabia   Please send us your reservation number PNR via DM  Thank you "
"304","   Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 passeng "
"305","World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  20   "
"306","   Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 passengers  incl "
"307","  cannot believe the service I have received from you  Shocking   All I want is a credit note to use   "
"308","   Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 passengers  incl "
"309","World Airports opening dates            1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2   "
"310","   Hello air India Kindly please tell me the next schedule of flight from Riyadh   Hyderabad under VBM I   "
"311","World Airports opening dates    1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4    "
"312","   Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 passengers  incl "
"313","Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 p   "
"314","   Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 passengers  incl "
"315","   UAVOS  amp  KACST Saudi Arabia unveils Saker 1B MALE UAV   based UAVOS  amp  King Abdulaziz City "
"316","Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 p   "
"317","Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 p   "
"318","   Air India flight AI 1936 bound for Hyderabad has departed from King Khalid International Airport  Riyadh with 148 passengers  incl "
